Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2015,4,La Pampa,58.76,228.94
2015,4,La Rioja,17.32,68.05
2015,4,Mendoza,32.49,129.84
2015,4,Misiones,28.69,110.66
2015,4,Neuquén,58.29,217.96
2015,4,Río Negro,46.44,184.14
2015,4,Salta,31.59,123.24000000000001
2015,4,San Juan,27.66,110.52000000000001
2015,4,San Luis,9.71,38.85
2015,4,Santa Cruz,27.74,110.41
2015,4,Santa Fe,52.61,206.18
2015,4,Santiago Del Estero,17.0,68.28999999999999
2015,4,Tierra Del Fuego,66.46,290.06
2015,4,Tucumán,37.06,144.44
2015,3,Buenos Aires,57.69,229.14999999999998
2015,3,Capital Federal,118.29,467.39
2015,3,Catamarca,25.86,102.66
2015,3,Chaco,27.96,110.42
2015,3,Chubut,36.81,147.89
2015,3,Córdoba,57.08,225.01
2015,3,Corrientes,30.17,119.03999999999999
2015,3,Entre Ríos,43.68,172.79
2015,3,Formosa,18.84,74.39
2015,3,Jujuy,21.27,82.72
2015,3,La Pampa,57.96,228.94
2015,3,La Rioja,17.15,68.05
2015,3,Mendoza,32.49,129.84
2015,3,Misiones,28.31,110.66
2015,3,Neuquén,54.6,217.96
2015,3,Río Negro,46.39,184.14
2015,3,Salta,31.18,123.24000000000001
2015,3,San Juan,27.67,110.52000000000001
2015,3,San Luis,9.71,38.85
